app_name_name,app_name_rating,app_name_desc,app_name_img,app_name_content_rating,app_name_pri_cat,app_name_age_rating,app_name_price
Jungle Vet Care games for kids,Rated 4.6 stars out of five stars,"Help the vet take care of the animals - treat, heal and cure the Jungle wildlife.
The Jungle animals need some assistance, some got sick, others got injured or hurt. Help the doctor get them better: treat the giraffe, fix the gorilla, cure the elephant, heal the lion, help the zebra and take care of the bear. Whether the animals have a fever or ear infection, have scratches or wounds, or whether it just got caught up in branches or got dirty, you have the tools to fix them and help them out.
Pazu games are trusted by millions of parents and loved by millions of kids worldwide.
Our games are designed especially for kids and offer fun educational experiences for girls and boys to enjoy.
With a variety of game mechanics adapted to different ages and capabilities, it is suitable for kids to be able to play on their own, without the support of adults.
• 6 different animals to choose from – Each with its own unique problems and tools!
• Random set of problems every game makes for a different experience each playthrough!
• Colourful and unique problems, tools, and characters!
• Easy and fluid interface that is designed especially for kids.
Jungle Care Taker takes you into the jungle to experience animal treatment and compassion without ever leaving your home. With a random set of problems and unique tools for each animal, Jungle Care Taker is the perfect ‘doctor’ game that never gets old!
For Privacy Policy please see here >> https://www.pazugames.com/privacy-policy
Terms of Use:
https://www.pazugames.com/terms-of-use
All rights are reserved Pazu ® Games Ltd. The use of the games or the content presented therein, apart from the usual use of Pazu ® Games, is not authorized, without express written permission from Pazu ® Games.",https://play-lh.googleusercontent.com/m4K_s9hgDdHHqSx6o4YaKScdVel_p7I0wQAb6WHqzhqpKfNaljESp0uhjkrCFT_k9JY=s180,Everyone,Educational,Ages up to 8,
Super JoJo: Baby Care,Rated 3.8 stars out of five stars,"Mom and dad have been working hard. Can you help them take care of baby JoJo? By doing so, you will learn how to care for others and be a responsible child!
IN THE MORNING
Baby JoJo is up. Please come and play toys with him! Assemble the little round wheels and put the long carriage. Put together a train that JoJo loves!
Also, you can play blocks with JoJo! Put together the square and triangle blocks, and the little house is ready! JoJo also wants to build a little windmill. Please come and help him!
AT NOON
It's time for lunch. Make JoJo the steamed egg custard! Crack an egg into the bowl and mix well. Steam it in the microwave and the steamed egg custard is ready to eat!
JoJo also wants to have the sweet fruit salad! Apples, bananas, and strawberries, cut them all into small pieces. Then pour in some yummy milk, and JoJo's lunch is ready!
IN THE EVENING
It's time for JoJo to take a bath! Tear off the magic tape and remove the diaper. Then put on soap, rub gently, and wash JoJo clean!
It's 9 o'clock. Is JoJo still awake? Tuck him in and play a lullaby. JoJo will soon be asleep with this lullaby! Ssh...Baby JoJo is asleep.
You've taken such good care of him!
FEATURES:
- Experience taking care of a baby and develop your sense of responsibility.
- Steam eggs, make salad, and learn how to cook healthy meals.
- Play blocks and put together toy trains with JoJo.
About BabyBus
—————
At BabyBus, we dedicate ourselves to sparking kids' creativity, imagination and curiosity,and designing our products through the kids' perspective to help them explore the world on their own.
Now BabyBus offers a wide variety of products, videos and other educational content for over 400 million fans from ages 0-8 around the world! We have released over 200 children's educational apps, over 2500 episodes of nursery rhymes and animations of various themes spanning the Health, Language, Society, Science, Art and other fields.
—————
Contact us: ser@babybus.com
Visit us: http://www.babybus.com",https://play-lh.googleusercontent.com/vVgG__PEsyzIiTqL0egvsx2mQ0c8ZmsLqMjTGlq0SbyIJGGJgTi1SJXZGYzm0BVn5Q=s180,Everyone,Educational,Ages up to 5,
Disney Coloring World,Rated 3.9 stars out of five stars,"In Disney Coloring World, kids get creative with their favorite Disney and Pixar characters - and there are hundreds to choose from! Explore an ever-expanding universe of over 1000 stickers; from Mickey and Minnie Mouse, to Frozen’s Anna and Elsa, from the cast of the Lion King and Toy Story to an array of heroines, heroes, princesses, side-kicks, villains and so many more.
GET CREATIVE 🎨 🌈 👨‍🎨
Give Frozen’s Elsa a blazing red dress or Mickey Mouse spotty green ears. How would Simba look with stripes like a zebra? The sky’s the limit!
ART TOOLS 🖌🖍🖋
Choose from a selection of brushes, crayons, markers and magic tools to work with, including sparkly glitter brushes, spectacular pattern brushes, and more!
A SPRINKLING OF MAGIC ✨✨
For little hands that might not have mastered the art of coloring yet, there’s even a Magic Color tool that fills in all the colors perfectly.
3D WORLDS 🏰
And there’s more! Once a character has been colored and decorated it turns into a sticker. These stickers can be placed and played with in magical 3D worlds based on iconic Disney locations where kids can stage their own stories and discover hidden interactive surprises - adding a sprinkling of magic to their creative play.
REWARDS 🏆 🏆 🏆
Each time a page of characters is completed, even more characters and pages unlocked for endless fun, rewarding kids for their creativity.
Disney Coloring World includes favorite characters from Frozen, Toy Story, The Lion King, Wreck-It Ralph or Cars. Lets not forget about classic characters like Mickey Mouse, Minnie Mouse, Goofy, Donald Duck, Pluto, Daisy Duck and many more. Customize Disney Princesses from Snow White, Cinderella, Aurora, Ariel, Belle, Jasmine, Pocahontas, Mulan, Tiana, Rapunzel, Merida, their friends, and even iconic Disney dastardly villains like Maleficent! Or how about Vampirina and Lady and the Tramp? Or Dumbo? Or Tigger from Winnie the Pooh? Start your Disney Coloring World free trial now and bring your favorite Disney characters to life!",https://play-lh.googleusercontent.com/_P3lyYAOdKRW_Yvso0YKVQEc4fyEwUVDT6yRKyMLzy-5Kzi8pbHTFL5TH1KrKAjtZPs=s180,Everyone,Educational,Ages 6-8,
Baby Coloring games for kids with Glow Doodle,Rated 4.6 stars out of five stars,"Kids coloring and drawing! For ages 2 to 6
Glow doodle & Animated coloring pages
App is designed to be educational, creativity booster for artistic kids!
Key Features:
► Toddler coloring mode
► Drawing mode - simplified for kids
► 80+ Coloring pages with Sounds and Animations
► 9 different categories: Dinosaurs, Animals, Fish, Farm...
► Playable Offline
Additional features:
Touch Protection - Kids can hold the device and color comfortably
► Kids with their small hands often need to hold tablets and phones with their thumb on active area of the screen. With this in mind, our app supports this and it's more comfortable to play around for children
Parental Gate - Purchases and settings are inaccessible for small kids
► Settings window, external links and purchases are protected by ""Parental Gate"", so that our young users won't get confused and lost in the places where they're not supposed to be
► Completely Ads Free - your kids won't see any ads in the app",https://play-lh.googleusercontent.com/n0MHO-qdrjC6jl6IvxNPdxZ0HOV2sv5WXIFs8wcGgIRUCTLSDcoNnOuABvW-ntNYzAs=s180,Everyone,Educational,Ages up to 5,
TRT Çocuk Anaokulum,Rated 3.6 stars out of five stars,,https://play-lh.googleusercontent.com/jA-gSTPcJNfmZyUY2DpeIfIjHDzRIy8dpH9HLhdu_LXSSZT0O8mAsEPgMxGB6p2jnw=s180,Everyone,Adventure,Ages up to 8,
Strawberry Shortcake Dress Up Dreams,Rated 4.0 stars out of five stars,"Budge Studios™ presents Strawberry Shortcake Dress Up Dreams! You’re invited to Strawberry Shortcake’s sweet slumber party to make your dress up dreams come true. Open the magical costume trunk filled with beautiful dresses and accessories to make Strawberry Shortcake and her best friends’ dress up fantasies a reality! For even more fun, you’ll go on a magical adventure in your fabulously stylish outfits. How about we get this berry bitty slumber party started?
FEATURES
•Style hair, accessorize, and create fabulous outfits
•6 dress up themes to style your character from
•Play 6 themed mini games to earn over 50 glam gifts
•Strike a pose to show off your berry chic looks
•Unlimited ways to customize your wardrobe
THEMES
•Princess: dance away to dreamy tunes
•Pop Star: play some wicked beats
•Super Hero: fly and save the day
•Spooky: flash your light to find objects
•Surfer: ride some epic waves
•Explorer: discover hidden treasure
PRIVACY & ADVERTISING
Budge Studios takes children's privacy seriously and ensures that its apps are compliant with privacy laws. This application has received the “ESRB (Entertainment Software Rating Board) Privacy Certified Kids’ Privacy Seal”. For more information, please visit our privacy policy at: https://budgestudios.com/en/legal/privacy-policy/, or email our Data Protection Officer at: privacy@budgestudios.ca
Before you download this app, please note that it is free to try, but some content may only be available via in-app purchases. In-app purchases cost real money and are charged to your account. To disable or adjust the ability to make in-app purchases, change your device settings. This app may contain contextual advertising (including the option to watch ads for rewards) from Budge Studios regarding other apps we publish, from our partners and from third parties. Budge Studios does not permit behavioral advertising or retargeting in this app. The app may also contain social media links that are only accessible behind a parental gate.
Please note that this app gives users the ability to take and/or create photos in-app that can be saved locally to their devices. These photos are never shared with other users in-app, nor are they shared by Budge Studios with any unaffiliated third party companies.
TERMS OF USE / END-USER LICENSE AGREEMENT
This application is subject to an End-User License Agreement available through the following link: https://budgestudios.com/en/legal-embed/eula/
ABOUT BUDGE STUDIOS
Budge Studios was founded in 2010 with the mission to entertain and educate children around the world, through innovation, creativity and fun. Its high-quality app portfolio consists of original and branded properties. Budge Studios maintains the highest standards of safety and age-appropriateness, and has become a global leader in children’s apps for smartphones and tablets.
Visit us: www.budgestudios.com
Like us: facebook.com/budgestudios
Follow us: @budgestudios
Watch our app trailers: youtube.com/budgestudios
HAVE QUESTIONS?
We always welcome your questions, suggestions and comments. Contact us 24/7 at support@budgestudios.ca
Strawberry Shortcake: Dress-Up Dreams © 2016 Budge Studios Inc. All Rights Reserved.
BUDGE STUDIOS and BUDGE are trademarks of Budge Studios Inc.",https://play-lh.googleusercontent.com/ynz_r8c5EZ2GIWNEqakHZ2Fwc0m1cawrZ7ngjMEVjlPO5cGjM5vllmQ8lfV4Afst7z0=s180,Everyone,Casual,Ages up to 12,
Dinosaur GarbageTruck:for kids,Rated 4.0 stars out of five stars,"Drive and control up to 5 unique garbage trucks! Clean the garbage-piled sidewalks and spider web in the mess culvert. The city traffic was trouble after snow, you can shovel the snow away from roads and provide vehicle guidance! And even, blast ruins to pieces with your hammer truck!
Collect and take the trash to recycling center. For example, the car transfer to specific place and crush into pieces. You will also take away the hood and tires from a car, then break it up. Collect all the trash into a giant machine that can dispose garbage. The process of disposing garbage are full of surprises and fun interactions!
The rubbish gave out a smelly gas that directly influence the city environment and dinosaur residents.
Drive around to become a little environmental guardian! Pick up your trucks and start your adventures!
Features
>Five unique garbage trucks to choose from such as Snow Blower,Sweeper Truck,Forklift ect.
>Observing how the garbage trucks work.
>Learn about waste and waste sorting.
>Fun animation and sound effects.
>No third-party advertising.
About Yateland
Yateland develops apps for kids and families to enjoy. Our games inspire preschoolers across the globe to create, imagine, and adventure! As we make games for your children to enjoy, we are guided by our vision: ""children love. Parents trust.""",https://play-lh.googleusercontent.com/wFOo6-ATpnuW8upKm735w4-i3N_eIEh1JQKQGSSFqdPOKuhyqXtStlSL6HN_HTXmcIY=s180,Everyone,Educational,Ages up to 8,
Boomerang Make and Race,Rated 4.1 stars out of five stars,"ON YOUR MARKS...PICK YOUR FAVOURITE BOOMERANG CARTOON!
This is a fun game for the whole family, where parents and kids can safely build cars, race and play! Now, who will you race with? Choose from your favourite Boomerang stars including:
・Scooby-Doo and Velma
・Tom and Jerry
・Stunt Happo and Bella the Ballerina Happo
・The Wacky Racers Penelope Pitstop, Dick Dastardly and Muttley
・Bugs Bunny and Tweety Bird
GET SET…CUSTOMISE YOUR CAR
The race is on! In Make and Race not only do you get to race as some of your favourite Boomerang characters - you get to make their car too! Check out all the ways you can design the ride of your dreams!
PICK A CAR BODY
What kind of ride do you want? A sleek box car? A massive barrel on wheels? The choice is yours!
CHOOSE YOUR WHEELS
You know what they say: if it's shaped like a circle it can be used as a wheel! Mix and match with bicycle tires, donuts, saw blades and everything in between! Find the wheels that best express you.
A NEW COAT OF PAINT
Want a bright blue speed machine? How about a hot pink convertible? Spray paint your new ride in all the colours of the rainbow!
TIME FOR ACCESSORIES
Decorate your car with lightning bolts, hearts, electric guitars, giant engines, flames and more! You can even add stickers of your favorite characters! You can even earn upgrade points while you're racing to get even more fun ways to decorate your ride.
GO...LET THE RACE BEGIN!
Once you've got your car and racer it's time to hit the road! Race against classic Boomerang characters as you dodge obstacles while trying to get first place!
*******
If you're having any problems with this app, feel free to contact us at apps.emea@turner.com. Tell us about the issues you're running into as well as what device and OS version you're using.
******
PRIVACY INFORMATION:
Your privacy is important to us at Cartoon Network, a division of Turner Broadcasting System, Inc. This game collects and uses information as described in Cartoon Network’s Privacy Policy linked below. This information may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; personalize content; serve advertising; perform network communications; manage and improve our products and services; and perform other internal operations of Cartoon Network web sites or online services. Our privacy practices are guided by data privacy laws in the United States. For users residing in the EU or other countries outside the U.S., please note that this app may use persistent identifiers for game management purposes. By downloading this application, you accept our Privacy Policy and End User License Agreement, and you give permission for such uses for all users of your device. The Privacy Policy and End User License Agreement are in addition to any terms, conditions or policies imposed by your wireless carrier and Google, Inc. Cartoon Network and its affiliates are not responsible for any collection, use, or disclosure of your personal information by Google or your wireless carrier.
Terms of Use: http://www.cartoonnetwork.com/legal/termsofuse.html
Privacy Policy: http://www.cartoonnetwork.com/legal/privacy/mobile.html",https://play-lh.googleusercontent.com/PUGl_IdZaPbXRpao2VPPz6rm0hNeV7LnSejGvOGgs_h-wstVYE6IaSSPDZqsPMDjF_I=s180,Everyone,Racing,Ages up to 8,
My Little Pony Color By Magic,Rated 4.2 stars out of five stars,"Step into a colorful world of creativity with all your favorite MY LITTLE PONY™ characters! Color hundreds of images to gather enough memory stars to help rebuild and decorate the Museum of your dreams. It’s fun and easy to color all your favorite ponies and reminisce wonderful memories from MY LITTLE PONY: Friendship is Magic!
My Little Pony Color By Magic is the ponies’ most colorful adventure yet!
• COLOR – Create magical masterpieces featuring TWILIGHT SPARKLE, RAINBOW DASH, PINKIE PIE and many more. The best part: you get to relive your favorite moments from MY LITTLE PONY: Friendship is Magic!
• RESTORE – A Museum filled with memories! Complete colorful tasks to gather enough memory stars to restore the Museum of Friendship to its former glory!
• DECORATE – Use your design skills to turn all the rooms in the Museum from DRAB to FAB with choices YOU make. How fabulous!
• CREATE – Free your imagination and creativity in the Art Studio. Let the artist in you shine with all of the glitter and colors!
• RELAX – Simple and fun to use, suitable for fans of all ages!
Stay tuned for new images added regularly!
SUBSCRIPTION DETAILS
- This app offers monthly subscriptions
- Users may be offered a free trial of the subscription
- One free trial per Google account on new subscriptions only
- Users will need to opt-in to a subscription in order to accept the trial period and will have the right to opt-out at any time during the trial period. Users will be automatically charged after the trial period if they haven't opted out.
- Subscription automatically renews unless auto-renew is turned off before the end of the current period
- Auto-renewal of your subscription can be canceled anytime by going to the Google Account Settings
-You can cancel your subscription at any time, but please note that you will not get a refund for any remaining period of a subscription
PRIVACY & ADVERTISING
Budge Studios takes children's privacy seriously and ensures that its apps are compliant with privacy laws. This application has received the “ESRB (Entertainment Software Rating Board) Privacy Certified Kids’ Privacy Seal”. For more information, please visit our privacy policy at: https://budgestudios.com/en/legal/privacy-policy/, or email our Data Protection Officer at: privacy@budgestudios.ca
Before you download this app, please note that it is free to try, but some content may only be available via a paid subscription or in-app purchases. In-app purchases cost real money and are charged to your account. To disable or adjust the ability to make in-app purchases, change your device settings. This app contains contextual advertising for other Budge Studios apps and our partners’ apps. Budge Studios does not permit behavioral advertising or retargeting in this app. The app may also contain social media links that are only accessible behind a parental gate.
END-USER LICENSE AGREEMENT
This application is subject to an End-User License Agreement available through the following link: https://budgestudios.com/en/legal-embed/eula/
ABOUT BUDGE STUDIOS
Budge Studios leads the industry by providing entertaining apps for kids through innovation and creativity. The company develops and publishes apps for smartphones and tablets played by millions of children worldwide.
Visit us: www.budgestudios.com
Like us: facebook.com/budgestudios
Follow us: @budgestudios
Watch our app trailers: youtube.com/budgestudios
HAVE QUESTIONS?
We always welcome your questions, suggestions and comments. Contact us 24/7 at support@budgestudios.ca
MY LITTLE PONY and all related characters are trademarks of Hasbro and are used with permission. © 2020 Hasbro. All Rights Reserved.
BUDGE and BUDGE STUDIOS are trademarks of Budge Studios Inc.
My Little Pony Color By Magic © 2020 Budge Studios Inc. All Rights Reserved.",https://play-lh.googleusercontent.com/Rma6LDkAJ7fdAA9YOaoJqlsRn0V3W5a_bt1gGre5CcKky7sF7Calnx8Mk7lVxTJYU5O9=s180,Everyone,Casual,Ages 6-12,
Truck Builder - Games for kids,Rated 4.2 stars out of five stars,"Kids can assemble 18 different kinds of cars in three workshops. Once they finish assembling, they can drive their creation and start their road adventure!
Friendly interaction! Easy to control! Drive from underground caves to the Midwest highways. With a variety of fun props, the children will enjoy their time on the road.
Come on; let's drive! Pick a car, race car, or tractor. Are you ready for an adventure?
Features:
> 18 different kinds of cars for assembling
> 3 types of road driving experiences, including caves, cities, and mountain roads in the US Midwest
> No rules or time pressures. Explore at your own pace
> Great for toddlers and preschoolers, ages 2-5
Parents, you can always count on the Yateland team to create safe and educational apps your children will love!
About Yateland
Yateland crafts apps with educational values that inspire preschoolers across the globe to learn through play! With each app we make for your children to enjoy, we are guided by our motto: ""Apps children love and parents trust.""",https://play-lh.googleusercontent.com/UgUSV-y2ke2yj_dulRVEsPMnseQUcxL7wc95SqgrZs8G2i1OQMbSyNM7UASgiaOZsWI=s180,Everyone,Educational,Ages up to 8,
